sira,isim,gelirler,gelir_yüzde_degisim,karlar,kar_yuzde_degisim,varliklar,piyasa_degeri,sira_degisikligi,calısanlar
1,Walmart,572754.0,0.024,13673.0,0.012,244860.0,409795.0,-1.3963636363636365,2300000.0
2,Amazon,469822.0,0.217,33364.0,0.564,420549.0,1658807.3,-1.3963636363636365,1608000.0
3,Apple,365817.0,0.3329999999999999,94680.0,0.649,351002.0,2849537.6,-1.3963636363636365,154000.0
4,CVS Health,292111.0,0.087,7910.0,0.102,232999.0,132839.2,-1.3963636363636365,258000.0
5,UnitedHealth Group,287597.0,0.118,17285.0,0.122,212206.0,479830.3,-1.3963636363636365,350000.0
6,Exxon Mobil,285640.0,0.574,23040.0,,338923.0,349652.4,4.0,63000.0
7,Berkshire Hathaway,276094.0,0.125,89795.0,1.112,958784.0,779542.3,-1.0,372000.0
8,Alphabet,257637.0,0.412,76033.0,0.888,359268.0,1842326.1,1.0,156500.0
10,AmerisourceBergen,213988.8,0.127,1539.9,,57337.8,32355.7,-2.0,40000.0
11,Costco Wholesale,195929.0,0.175,5007.0,0.251,59268.0,255230.7,1.0,288000.0
12,Cigna,174078.0,0.085,5365.0,-0.366,154889.0,76286.3,1.0,72963.0
13,AT&T,168864.0,-0.017,20081.0,,551622.0,169262.4,-2.0,202600.0
14,Microsoft,168088.0,0.175,61271.0,0.384,333779.0,2311358.9,1.0,181000.0
15,Cardinal Health,162467.0,0.062,611.0,,44453.0,15709.4,-1.0,46827.0
16,Chevron,162465.0,0.716,15625.0,,239535.0,317120.1,11.0,42595.0
17,Home Depot,151157.0,0.144,16433.0,0.2769999999999999,71876.0,309312.6,1.0,490600.0
18,Walgreens Boots Alliance,148579.0,0.065,2542.0,4.575,81285.0,38671.1,-2.0,258500.0
19,Marathon Petroleum,141032.0,0.585,9738.0,,85373.0,47758.1,13.0,17700.0
20,Elevance Health,138639.0,0.138,6104.0,0.335,97460.0,118533.5,3.0,98200.0
21,Kroger,137888.0,0.0409999999999999,1655.0,-0.36,49086.0,41496.2,-4.0,420000.0
22,Ford Motor,136341.0,0.072,17937.0,,257035.0,67958.2,-1.0,183000.0
23,Verizon Communications,133613.0,0.0409999999999999,22065.0,0.24,366596.0,213837.1,-3.0,118400.0
24,JPMorgan Chase,127202.0,-0.018,48334.0,0.659,3743567.0,402526.9,-5.0,271025.0
25,General Motors,127004.0,0.037,10019.0,0.5589999999999999,244718.0,63555.2,-3.0,157000.0
26,Centene,125982.0,0.134,1347.0,-0.255,78375.0,49072.2,-2.0,72500.0
27,Meta Platforms,117929.0,0.372,39370.0,0.351,165987.0,605251.0,7.0,71970.0
28,Comcast,116385.0,0.124,14159.0,0.344,275905.0,212245.8,-2.0,189000.0
29,Phillips 66,114852.0,0.754,1317.0,,55594.0,41561.0,19.0,14000.0
30,Valero Energy,108332.0,0.802,930.0,,57888.0,41572.2,23.0,9804.0
31,Dell Technologies,106995.0,0.136,5563.0,0.7120000000000001,92735.0,38164.4,-3.0,133000.0
32,Target,106005.0,0.133,6946.0,0.59,53811.0,98134.4,-2.0,450000.0
33,Fannie Mae,101543.0,-0.046,22176.0,0.879,4229166.0,909.1,-8.0,7400.0
34,UPS,97287.0,0.15,12890.0,8.597999999999999,69405.0,186816.6,1.0,400945.0
35,Lowe's,96250.0,0.074,8442.0,0.447,44640.0,133761.1,-4.0,270000.0
36,Bank of America,93851.0,0.001,31978.0,0.787,3169495.0,332433.3,-7.0,208248.0
37,Johnson & Johnson,93775.0,0.136,20878.0,0.419,182018.0,466046.7,-1.0,141700.0
38,Archer Daniels Midland,85249.0,0.325,2709.0,0.529,56136.0,50769.2,13.0,39979.0
39,FedEx,83959.0,0.213,5231.0,3.068,82777.0,59971.3,6.0,484000.0
40,Humana,83064.0,0.077,2933.0,-0.129,44358.0,55154.9,1.0,95500.0
41,Wells Fargo,82407.0,0.026,21548.0,5.528,1948068.0,184225.0,-4.0,247848.0
